姓名,球队,排名,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
扬尼斯-阿德托昆博,雄鹿,1,32.4,12.70-21.00,0.606,0.20-0.70,0.222,6.80-11.40,0.603,26,35.1
谢伊-吉尔杰斯-亚历山大,雷霆,2,31.2,11.00-21.00,0.525,2.20-6.00,0.35600000000000004,7.00-7.90,0.885,34,34.4
尼古拉-约基奇,掘金,3,31.0,11.80-21.30,0.5529999999999999,2.30-4.70,0.479,5.20-6.50,0.805,30,36.9
杰森-塔特姆,凯尔特人,4,28.2,9.40-20.20,0.46399999999999997,3.90-10.70,0.37,5.50-6.90,0.7959999999999999,32,36.3
达龙-福克斯,国王,5,26.7,9.90-20.30,0.486,2.00-6.30,0.321,4.90-6.10,0.8079999999999999,35,37.3
维克托·文班亚马,马刺,6,25.9,9.30-19.20,0.48700000000000004,3.30-9.20,0.36200000000000004,3.90-4.40,0.875,29,32.9
安东尼-戴维斯,湖人,7,25.8,9.40-18.00,0.522,0.70-2.20,0.314,6.40-8.20,0.779,32,34.8
泰雷斯-马克西,76人,8,25.5,8.80-20.90,0.42100000000000004,3.20-9.40,0.34,4.70-5.60,0.8420000000000001,26,37.2
杰伦-布伦森,尼克斯,9,25.1,8.60-17.90,0.479,2.40-6.20,0.39299999999999996,5.50-6.70,0.821,34,35.1
达米安-利拉德,雄鹿,9,25.1,7.60-17.60,0.434,3.40-9.40,0.364,6.40-6.90,0.919,25,36.5
卡尔-安东尼-唐斯,尼克斯,11,24.7,8.80-16.10,0.5479999999999999,2.10-4.80,0.44,4.90-5.80,0.8340000000000001,33,34.5
德文-布克,太阳,11,24.7,7.80-18.20,0.429,2.60-7.70,0.341,6.50-7.20,0.902,27,36.3
安东尼-爱德华兹,森林狼,13,24.5,8.70-19.80,0.44,4.00-9.70,0.409,3.10-3.80,0.81,33,36.1
杰伦-布朗,凯尔特人,14,24.4,9.00-19.40,0.461,2.30-7.00,0.332,4.10-5.60,0.7340000000000001,28,35.4
凯里-欧文,独行侠,15,24.3,9.00-18.30,0.49,3.10-7.00,0.441,3.30-3.60,0.899,30,35.6
泰勒-希罗,热火,16,24.1,8.30-17.50,0.478,3.90-9.60,0.41,3.40-4.00,0.853,32,35.3
勒布朗-詹姆斯,湖人,16,24.1,9.30-18.30,0.507,2.20-5.70,0.382,3.30-4.30,0.77,31,34.9
诺曼-鲍威尔,快船,18,23.6,8.20-17.00,0.48,3.60-8.10,0.441,3.70-4.40,0.847,27,33.1
凯德-坎宁安,活塞,18,23.6,8.90-19.80,0.447,2.40-6.50,0.371,3.50-4.40,0.794,30,35.6
RJ-巴雷特,猛龙,20,23.4,8.50-18.50,0.45899999999999996,1.90-5.60,0.344,4.50-6.20,0.726,27,34.1
